ENV,XFA1,XFA2
1,0.113323,-0.153838
2,0.275859,0.187762
3,0.324243,-9.67E-02
4,0.311767,-0.157336
5,0.435885,-0.176141
6,0.133934,-0.130969
7,0.171323,6.13E-03
8,0.309418,-4.13E-03
9,0.406039,0.110921
10,0.204509,-0.120538
11,0.136756,-0.164097
12,0.295289,2.07E-03
13,0.299974,-6.54E-04
14,0.356976,1.29E-02
15,0.293324,-8.68E-02
16,0.284198,5.00E-02
17,0.331791,1.67E-03
18,0.372424,9.82E-02
19,0.236506,0.151953
20,0.278123,0.12741
21,-3.54E-02,0.351907
22,0.351338,0.13395
23,0.271961,3.94E-02
24,0.142471,8.70E-04
25,0.203081,-2.00E-02
